image_id,gene,source_dir
Duodenum_DDX41_Male_50_1904.jpg,DDX41,images
Duodenum_DEFA5_Female_67_3479.jpg,DEFA5,images
Duodenum_DEFA6_Female_67_3479.jpg,DEFA6,images
Duodenum_DERL1_Male_54_2562.jpg,DERL1,images
Duodenum_DERL3_Male_55_1920.jpg,DERL3,images
Duodenum_DEXI_Male_55_1920.jpg,DEXI,images
Duodenum_DFFA_Male_50_1904.jpg,DFFA,images
Duodenum_DHDDS_Female_60_3548.jpg,DHDDS,images
Duodenum_DHDH_Female_67_3479.jpg,DHDH,images
Duodenum_DHRS1_Male_73_64.jpg,DHRS1,images
Duodenum_DIPK1A_Male_50_1904.jpg,DIPK1A,images
Duodenum_DMXL1_Male_54_2562.jpg,DMXL1,images
Duodenum_DNAJA1_Female_64_2338.jpg,DNAJA1,images
Duodenum_DNAJC21_Male_55_1920.jpg,DNAJC21,images
Duodenum_DNAJC25_Male_59_1961.jpg,DNAJC25,images
Duodenum_DNAJC27_Male_50_1904.jpg,DNAJC27,images
Duodenum_DNAJC28_Female_60_3548.jpg,DNAJC28,images
Duodenum_DNAJC3_Male_55_1920.jpg,DNAJC3,images
Duodenum_DNAJC9_Female_62_3515.jpg,DNAJC9,images
Duodenum_DNMT3A_Male_50_1904.jpg,DNMT3A,images
Duodenum_DNPH1_Male_54_2562.jpg,DNPH1,images
Duodenum_DPEP2_Male_35_3219.jpg,DPEP2,images
Duodenum_DPF2_Male_50_1904.jpg,DPF2,images
Duodenum_DSTYK_Female_67_3479.jpg,DSTYK,images
Duodenum_DTNB_Female_67_3479.jpg,DTNB,images
Duodenum_DTWD1_Female_67_3479.jpg,DTWD1,images
Duodenum_DYNLRB1_Male_54_2562.jpg,DYNLRB1,images
Duodenum_DYRK1A_Male_50_1904.jpg,DYRK1A,images
Duodenum_EBAG9_Female_60_3548.jpg,EBAG9,images
Duodenum_EBAG9_Male_50_1904.jpg,EBAG9,images
Duodenum_EBNA1BP2_Male_54_2562.jpg,EBNA1BP2,images
